中城投资,1
乐体创投,1
人民网,1
太平洋保险,3
金山软件,5
姚明,1
博汇源创投,2
红岭创投王忠平,2
合一资本,6
和君资本,11
日照义聚投资,1
蓝色光标,20
北京中海投资,2
恒泰华盛,1
立思辰,1
鼎鑫资本,2
深圳恒裕,1
Freebit,1
和通国际,3
大洋电机,1
广东宜利复医道合双赢投资基金,1
新天域资本,7
漫步者Edifier,1
欧比特,1
825新媒体产业基金,13
上海南翔创投,1
Greycroft,1
汇丰银行HSBC,1
十方创投,3
湖南电广传媒,2
WPP集团,1
贝塔斯曼亚洲投资基金,34
数元创投-宇海数园,1
信中利资本,25
厚德创新谷,1
筋斗云投资,1
远东宏信远翼投资,1
英飞尼迪Infinity,7
源渡创投,7
成都市技术移动集团,1
易真资本,1
正源资本/正源策略,1
大湖股份,1
东方融润,1
雷曼光电,1
南山资本,3
聚心资本,2
恺英网络,2
北纬通信,1
福瑞投资,2
亚夏汽车,1
北京泰腾博越资本,1
颐成投资,1
冠英资本,4
龙腾资本,5
红塔创投,1
易宝支付,3
稼沃资本,3
沃富金信,3
九盈投资,4
Forgame,4
道明光学,1
北京华山投资,1
天图资本,27
合力投资,36
K2基金,9
前海互兴资产管理,3
天玖创投(天玖元润基金),1
源政投资杨向阳,1
毅达资本,10
真顺基金,11
银江股份(银江资本),2
舟山鼎泽投资,1
月阳投资,1
顿宏资产,1
沪江,1
蓝港互动,3
中盛创投,1
五岳元航,9
荣之联,1
北京马力天使投资中心,3
金蝶国际,1
红星美凯龙,1
General,2
创新工场,205
天音通信,3
济南华科创投,4
黑马基金,29
宝洁校友会旗下基金,1
松源资本,2
星沅资本(星沅创投),1
长青资本,1
梅花天使创投,90
景林投资,40
丰图投资,1
种子期孵化器,1
瑞力投资,2
安思晟投资ACEON,5
荣昌e袋洗,2
广发信德-广发证券,23
光线传媒,19
乐动卓越,1
千方科技,1
联创投资,1
安芙兰创投,18
中源协和,1
考拉资本,4
达实智能,1
上海掌门科技,16
顺荣三七互娱,6
绩优投资,2
奇瑞汽车,1
普思资本,12
安徽聚合投资,1
磐霖资本,2
英达投资,1
中搜网络,2
凯洲资本,1
力鼎资本,5
乾祥海泉投资(胡海泉),5
联创永宣,80
联发科MTK,1
光信资本,16
红移投资,1
麟玺创投,6
远瞻资本,8
上海中金资本,6
深圳中青宝,2
MindWorks,1
光谷联合,2
浅石创投,4
衡锐资本,1
深圳世为投资,1
创丰资本,10
沃衍资本,3
天使投资人沈海寅,1
巨江电源,1
大同创投,3
海汇投资,5
Accel,1
Dream,3
安卓信创投,1
浙江九仁资本,3
华胜天成,1
网信金融,2
天使投资人徐易容,1
卫宁软件(卫宁健康),1
上海交大产业投资管理集团,1
五岳天下资本,21
Lightspeed,1
七匹狼,2
泰康人寿,1
Teambition,1
曼图资本Mandra,6
优客工场,3
中国联通,1
东方港湾,1
分众方源体育基金,1
灏蓝资本,2
达泰资本,7
兰天控股,1
米其林,2
京东,43
北京复远,1
歌斐资产,2
粤传媒,2
奋达科技(泓锦文基金),2
道彤投资,2
JAIC日本亚洲投资,2
太火鸟,1
诺辉岭南,1
友田资本,2
天舟文化,2
韩国NICE集团,1
美图秀秀,9
齐享资本,1
立诚创投,1
维西资本,3
安成投资,5
棕榈股份,1
元禾控股,17
天珑移动,1
凯启投资,1
英特尔投资Intel,33
武汉文投科技,1
趣游科技,2
正赛联资本,1
华夏人合资本,1
武汉默联,1
欢聚时代(YY多玩),8
中投公司,4
星河互联,28
正坤集团,1
歌石投资,4
天使投资人李明远,2
任飞资本(任飞投资中心),7
华创盛景,1
壹号投资,1
光源资本,4
住友商事亚洲资本,8
微鲸科技,1
旦恩创投,18
云天使基金,17
爱康国宾,1
快创营,9
天津安果科技,1
峰谷资本,1
SIG海纳亚洲,73
明牌珠宝,1
复娱文化(复星集团),3
中体鼎新投资,1
麦顿投资,10
新文化,1
雷鸣,1
上海栩远投资,1
上海承泰信息科技股份有限公司,1
天石资本,1
金刚游戏,2
Ardent,1
上海宝樾,1
无穹创投,9
富坤创投,1
阿里巴巴,93
美盛文化,3
威盛电子,1
长安私人资本,7
中岭燕园创投,1
嘉御基金,10
金石投资,5
风和投资,8
宜华木业,5
蓝湖资本,7
维思资本,3
国泰君安,5
思伟投资,7
复星医药,3
网龙网络(M,1
谆朴投资,6
Cisco,1
DST,13
凌志软件-凌志汉理基金,1
58同城,25
创新谷Innovalley,31
启迪之星(启迪孵化器孵化投资基金),5
科冕木业(天神娱乐),8
联合出版集团,1
36氪,1
海量资本,1
初创投资,8
约印创投,3
富汇金融,1
拇指通,1
诺基亚成长基金,7
VY,1
金葵花资本,5
松禾资本,36
好贷网,5
和智资本,4
创业接力(创业基金会),46
深圳中圆,1
淘米网络,1
阳光普世新能源,1
佳浩投资,2
引力传媒,2
赋哲投资,1
德联资本(联和运通),1
华泰瑞麟(华泰证券),1
文资华夏文化产业基金,1
91农业,1
Macquarie麦格理,1
晨光文具,1
启嘉创投,6
中瑞思创,1
贝祥投资集团,1
众为资本,2
中瀛鑫,1
至信药业,1
创客星,1
绿盟科技,4
百事佳集团,1
嘉丰资本,1
元亨盈盛,2
如山创投,10
中瑞资本－和嘉瑞兴,1
雷柏科技,1
峰尚资本,1
博将资本,1
广联达,1
隆领投资,31
唯嘉资本,2
互爱科技,2
禾生资本,1
瑞财基金,1
亚联资本,1
科技寺资本,1
子望投资,5
崇德投资,6
华睿投资,10
天创资本,3
广州基金,1
君联资本,99
心动游戏,1
信德盈泰,1
纪源资本GGV,59
前海汇潮,1
米仓资本,18
华溢资本,2
朗玛峰创投,12
乐搏资本,16
华策影视,11
晶凯资本,1
弘晖资本,7
TMI台湾创意工场,4
Egarden,1
麦子金服,2
华晟资本-华兴资本,4
荷兰汇盈资产管理公司,1
鱼跃科技,2
兰馨亚洲,7
鸿海集团Foxconn,8
宏达电HTC,3
太冠资本,10
双湖投资,2
富兰克林邓普顿Franklin,1
常春藤资本Ivy,7
帮实资本,22
岩木草投资,1
红杉资本中国,252
马可波罗,1
麦腾创投,4
正保远程教育,1
湖畔山南资本,27
杭州基本粒子投资,1
以太资本,2
贝壳社基金,1
Korea,5
杭州蜂窝投资,2
洋葱基金,4
高览资本,1
北斗星通集团,1
FDT金融创新工场,1
溪山天使会,1
新加坡华侨银行,1
宽带资本CBC,43
天使投资人吴泳铭,7
国投高科技投资,3
新浪微博(新浪微创投),65
纵联资本,1
汤臣倍健,3
架桥投资,4
陶石资本,17
